n;Task1;Task2;Task3
715;4;2145;1022450
716;4;2148;1025312
717;4;2151;1028178
718;4;2154;1031048
719;4;2157;1033922
720;4;2160;1036800
721;4;2163;1039682
722;4;2166;1042568
723;4;2169;1045458
724;4;2172;1048352
725;4;2175;1051250
726;4;2178;1054152
727;4;2181;1057058
728;4;2184;1059968
729;4;2187;1062882
730;4;2190;1065800
731;4;2193;1068722
732;4;2196;1071648
733;4;2199;1074578
734;4;2202;1077512
735;4;2205;1080450
736;4;2208;1083392
737;4;2211;1086338
738;4;2214;1089288
739;4;2217;1092242
740;4;2220;1095200
741;4;2223;1098162
742;4;2226;1101128
743;4;2229;1104098
744;4;2232;1107072
745;4;2235;1110050
746;4;2238;1113032
747;4;2241;1116018
748;4;2244;1119008
749;4;2247;1122002
750;4;2250;1125000
751;4;2253;1128002
752;4;2256;1131008
753;4;2259;1134018
754;4;2262;1137032
755;4;2265;1140050
756;4;2268;1143072
757;4;2271;1146098
758;4;2274;1149128
759;4;2277;1152162
760;4;2280;1155200
761;4;2283;1158242
762;4;2286;1161288
763;4;2289;1164338
764;4;2292;1167392
765;4;2295;1170450
766;4;2298;1173512
767;4;2301;1176578
768;4;2304;1179648
769;4;2307;1182722
770;4;2310;1185800
771;4;2313;1188882
772;4;2316;1191968
773;4;2319;1195058
774;4;2322;1198152
775;4;2325;1201250
776;4;2328;1204352
777;4;2331;1207458
778;4;2334;1210568
779;4;2337;1213682
780;4;2340;1216800
781;4;2343;1219922
782;4;2346;1223048
783;4;2349;1226178
784;4;2352;1229312
785;4;2355;1232450
786;4;2358;1235592
787;4;2361;1238738
788;4;2364;1241888
789;4;2367;1245042
790;4;2370;1248200
791;4;2373;1251362
792;4;2376;1254528
793;4;2379;1257698
794;4;2382;1260872
795;4;2385;1264050
796;4;2388;1267232
797;4;2391;1270418
798;4;2394;1273608
799;4;2397;1276802
800;4;2400;1280000
801;4;2403;1283202
802;4;2406;1286408
803;4;2409;1289618
804;4;2412;1292832
805;4;2415;1296050
806;4;2418;1299272
807;4;2421;1302498
808;4;2424;1305728
809;4;2427;1308962
810;4;2430;1312200
811;4;2433;1315442
812;4;2436;1318688
813;4;2439;1321938
814;4;2442;1325192
815;4;2445;1328450
816;4;2448;1331712
817;4;2451;1334978
818;4;2454;1338248
819;4;2457;1341522
820;4;2460;1344800
821;4;2463;1348082
822;4;2466;1351368
823;4;2469;1354658
824;4;2472;1357952
825;4;2475;1361250
826;4;2478;1364552
827;4;2481;1367858
828;4;2484;1371168
829;4;2487;1374482
830;4;2490;1377800
831;4;2493;1381122
832;4;2496;1384448
833;4;2499;1387778
834;4;2502;1391112
835;4;2505;1394450
836;4;2508;1397792
837;4;2511;1401138
838;4;2514;1404488
839;4;2517;1407842
840;4;2520;1411200
841;4;2523;1414562
842;4;2526;1417928
843;4;2529;1421298
844;4;2532;1424672
845;4;2535;1428050
846;4;2538;1431432
847;4;2541;1434818
848;4;2544;1438208
849;4;2547;1441602
850;4;2550;1445000
851;4;2553;1448402
852;4;2556;1451808
853;4;2559;1455218
854;4;2562;1458632
855;4;2565;1462050
856;4;2568;1465472
857;4;2571;1468898
858;4;2574;1472328
859;4;2577;1475762
860;4;2580;1479200
861;4;2583;1482642
862;4;2586;1486088
863;4;2589;1489538
864;4;2592;1492992
865;4;2595;1496450
866;4;2598;1499912
867;4;2601;1503378
868;4;2604;1506848
869;4;2607;1510322
870;4;2610;1513800
871;4;2613;1517282
872;4;2616;1520768
873;4;2619;1524258
874;4;2622;1527752
875;4;2625;1531250
876;4;2628;1534752
877;4;2631;1538258
878;4;2634;1541768
879;4;2637;1545282
880;4;2640;1548800
881;4;2643;1552322
882;4;2646;1555848
883;4;2649;1559378
884;4;2652;1562912
885;4;2655;1566450
886;4;2658;1569992
887;4;2661;1573538
888;4;2664;1577088
889;4;2667;1580642
890;4;2670;1584200
891;4;2673;1587762
892;4;2676;1591328
893;4;2679;1594898
894;4;2682;1598472
895;4;2685;1602050
896;4;2688;1605632
897;4;2691;1609218
898;4;2694;1612808
899;4;2697;1616402
900;4;2700;1620000
901;4;2703;1623602
902;4;2706;1627208
903;4;2709;1630818
904;4;2712;1634432
905;4;2715;1638050
906;4;2718;1641672
907;4;2721;1645298
908;4;2724;1648928
909;4;2727;1652562
910;4;2730;1656200
911;4;2733;1659842
912;4;2736;1663488
913;4;2739;1667138
914;4;2742;1670792
915;4;2745;1674450
916;4;2748;1678112
917;4;2751;1681778
918;4;2754;1685448
919;4;2757;1689122
920;4;2760;1692800
921;4;2763;1696482
922;4;2766;1700168
923;4;2769;1703858
924;4;2772;1707552
925;4;2775;1711250
926;4;2778;1714952
927;4;2781;1718658
928;4;2784;1722368
929;4;2787;1726082
930;4;2790;1729800
931;4;2793;1733522
932;4;2796;1737248
933;4;2799;1740978
934;4;2802;1744712
935;4;2805;1748450
936;4;2808;1752192
937;4;2811;1755938
938;4;2814;1759688
939;4;2817;1763442
940;4;2820;1767200
941;4;2823;1770962
942;4;2826;1774728
943;4;2829;1778498
944;4;2832;1782272
945;4;2835;1786050
946;4;2838;1789832
947;4;2841;1793618
948;4;2844;1797408
949;4;2847;1801202
950;4;2850;1805000
951;4;2853;1808802
952;4;2856;1812608
953;4;2859;1816418
954;4;2862;1820232
955;4;2865;1824050
956;4;2868;1827872
957;4;2871;1831698
958;4;2874;1835528
959;4;2877;1839362
960;4;2880;1843200
961;4;2883;1847042
962;4;2886;1850888
963;4;2889;1854738
964;4;2892;1858592
965;4;2895;1862450
966;4;2898;1866312
967;4;2901;1870178
968;4;2904;1874048
969;4;2907;1877922
970;4;2910;1881800
971;4;2913;1885682
972;4;2916;1889568
973;4;2919;1893458
974;4;2922;1897352
975;4;2925;1901250
976;4;2928;1905152
977;4;2931;1909058
978;4;2934;1912968
979;4;2937;1916882
980;4;2940;1920800
981;4;2943;1924722
982;4;2946;1928648
983;4;2949;1932578
984;4;2952;1936512
985;4;2955;1940450
986;4;2958;1944392
987;4;2961;1948338
988;4;2964;1952288
989;4;2967;1956242
990;4;2970;1960200
991;4;2973;1964162
992;4;2976;1968128
993;4;2979;1972098
994;4;2982;1976072
995;4;2985;1980050
996;4;2988;1984032
997;4;2991;1988018
998;4;2994;1992008
999;4;2997;1996002
1000;4;3000;2000000
1001;4;3003;2004002
1002;4;3006;2008008
1003;4;3009;2012018
1004;4;3012;2016032
1005;4;3015;2020050
1006;4;3018;2024072
1007;4;3021;2028098
1008;4;3024;2032128
1009;4;3027;2036162
1010;4;3030;2040200
1011;4;3033;2044242
1012;4;3036;2048288
1013;4;3039;2052338
1014;4;3042;2056392
1015;4;3045;2060450
1016;4;3048;2064512
1017;4;3051;2068578
1018;4;3054;2072648
1019;4;3057;2076722
1020;4;3060;2080800
1021;4;3063;2084882
1022;4;3066;2088968
1023;4;3069;2093058
1024;4;3072;2097152
1025;4;3075;2101250
1026;4;3078;2105352
1027;4;3081;2109458
1028;4;3084;2113568
1029;4;3087;2117682
1030;4;3090;2121800
1031;4;3093;2125922
1032;4;3096;2130048
1033;4;3099;2134178
1034;4;3102;2138312
1035;4;3105;2142450
1036;4;3108;2146592
1037;4;3111;2150738
1038;4;3114;2154888
1039;4;3117;2159042
1040;4;3120;2163200
1041;4;3123;2167362
1042;4;3126;2171528
1043;4;3129;2175698
1044;4;3132;2179872
1045;4;3135;2184050
1046;4;3138;2188232
1047;4;3141;2192418
1048;4;3144;2196608
1049;4;3147;2200802
1050;4;3150;2205000
1051;4;3153;2209202
1052;4;3156;2213408
1053;4;3159;2217618
1054;4;3162;2221832
1055;4;3165;2226050
1056;4;3168;2230272
1057;4;3171;2234498
1058;4;3174;2238728
1059;4;3177;2242962
1060;4;3180;2247200
1061;4;3183;2251442
1062;4;3186;2255688
1063;4;3189;2259938
1064;4;3192;2264192
1065;4;3195;2268450
1066;4;3198;2272712
1067;4;3201;2276978
1068;4;3204;2281248
1069;4;3207;2285522
1070;4;3210;2289800
